p,ford,fI,fII
100198009,2532,306,116
100198081,2160,234,126
100199689,3648,421,187
100199929,2400,270,130
100201201,2358,263,130
100201249,2616,314,122
100201369,3012,347,155
100201441,2502,309,108
100202761,2346,270,121
100202929,3048,348,160
100203601,2088,226,122
100204729,2220,254,116
100204969,2982,370,127
100205569,2346,273,118
100206121,2688,323,125
100206409,3000,378,122
100207489,2880,337,143
100207801,2526,293,128
100207969,2208,267,101
100208161,1746,196,95
100209001,2304,270,114
100209481,2184,260,104
100209601,3228,383,155
100210681,2064,234,110
100211329,2454,256,153
100211521,2628,297,141
100211689,2844,328,146
100212121,2700,299,151
100212361,2730,304,151
100212961,2340,265,125
100213849,2322,260,127
100213969,2466,296,115
100214689,2238,251,122
100215649,2544,290,134
100215889,2196,261,105
100216561,2628,305,133
100216729,3270,401,144
100217209,2202,239,128
100217569,1770,186,109
100218409,1872,205,107
100219681,2250,256,119
100219921,2214,256,113
100220089,2994,353,146
100222921,2328,264,124
100223281,2568,296,132
100224121,2748,311,147
100224721,2160,245,115
100225441,2574,287,142
100225729,2448,276,132
100226449,2364,258,136
100226569,2316,267,119
100226641,2508,288,130
100227241,2586,304,127
100227289,2718,294,159
100229089,2394,264,135
100229329,2520,288,132
100230001,2208,260,108
100230601,2538,284,139
100231009,2568,290,138
100233961,2490,270,145
100234201,2046,240,101
100235521,2052,204,138
100236529,2844,325,149
100236649,2586,290,141
100236889,2160,258,102
100238041,2070,249,96
100238401,2388,267,131
100238881,2460,303,107
100239049,3246,394,147
100239241,2658,322,121
100239889,2340,277,113
100240729,2376,267,129
100241689,2382,281,116
100242409,2928,345,143
100242529,3252,382,160
100243201,2196,243,123
100244761,2670,325,120
100245049,2658,301,142
100245961,2106,248,103
100248409,2442,265,142
100249921,2622,298,139
100250089,2658,290,153
100250641,2148,235,123
100250929,2340,249,141
100251169,2868,339,139
100252489,3132,354,168
100252609,2298,273,110
100252849,2760,313,147
100253161,2082,241,106
100253689,3462,386,191
100254361,1998,227,106
100254529,2424,283,121
100255369,2136,253,103
100255849,2190,260,105
100256041,2652,313,129
100256209,2298,279,104
100258201,2610,319,116
100258321,2358,292,101
100259161,3432,420,152
100260001,2418,288,115
100260241,2058,237,106
100263769,2292,266,116
100264201,2394,287,112
100264369,1992,242,90
100264441,1866,228,83
100265089,2628,303,135
100266961,2112,251,101
100267441,2706,310,141
100267801,2232,255,117
100268281,2526,283,138
100268809,2346,284,107
100269241,2688,318,130
100269409,1860,230,80
100270921,2022,220,117
100271089,2346,262,129
100271641,2742,317,140
100273489,2970,354,141
100273681,2718,315,138
100275169,2706,312,139
100275289,2298,265,118
100275529,2232,245,127
100275961,3330,372,183
100277209,2670,300,145
100277641,2070,228,117
100277809,3048,385,123
100278049,2442,265,142
100278649,2088,231,117
100280041,2022,237,100
100281241,2682,289,158
100281721,2358,255,138
100282681,2574,292,137
100282849,3522,431,156
100283761,1950,213,112
100284361,1938,212,111
100284409,2112,239,113
100285201,2304,268,116
100286929,2760,322,138
100287601,3084,366,148
100287769,2718,340,113
100288129,3168,373,155
100288801,2550,305,120
100289401,2412,272,130
100289641,2526,288,133
100290121,2946,349,142
100290409,3468,398,180
100291249,2346,295,96
100291489,3444,391,183
100291921,2568,283,145
100292329,2490,305,110
100293481,2754,327,132
100293601,2010,232,103
100294009,2334,291,98
100294489,2856,313,163
100294609,3054,334,175
100295521,3018,326,177
100296289,1830,226,79
100296841,2574,309,120
100296961,2880,348,132
100297009,2808,320,148
100297129,2340,253,137
100298689,2550,297,128
100299361,2442,281,126
100299721,3402,393,174
100301569,2838,311,162
100302049,2436,261,145
100303081,2922,341,146
100303561,2574,297,132
100303849,2520,291,129
100304569,1944,226,98
100304761,2928,344,144
100306441,1932,220,102
100308601,2118,241,112
100308889,2184,269,95
100309441,2268,266,112
100309801,1548,173,85
100310281,1944,217,107
100310401,2484,279,135
100311649,1530,180,75
100311961,2286,255,126
100312129,2256,264,112
100312489,2802,331,136
100313329,2502,264,153
100313809,2532,283,139
100314169,2568,314,114
100314649,2592,303,129
100314769,1632,192,80
100315009,2394,289,110
100315609,2634,319,120
100316449,2844,336,138
100317361,2232,239,133
100318129,2994,352,147
100318369,2904,334,150
100318969,2988,352,146
100319041,2022,247,90
100320529,2298,266,117
100321201,2490,290,125
100322881,2556,305,121
100323049,2766,318,143
100323241,2742,311,146
100324561,2526,280,141
100325089,2982,345,152
100325569,2052,251,91
100326241,2304,277,107
100326361,3474,393,186
100326769,1932,222,100
100328881,1812,193,109
100328929,3030,363,142
100329049,2760,329,131
100330129,2514,290,129
100330561,2406,291,110
100330609,1902,220,97
100330729,2490,292,123
100331401,2154,239,120
100332121,2766,323,138
100333801,2190,243,122
100334089,2298,261,122
100334761,2388,280,118
100335769,2694,298,151
100336009,2568,316,112
100337161,1956,225,101
100337329,2406,267,134
100338361,3240,367,173
100338529,2364,257,137
100338841,2418,270,133
100339801,1752,194,98
100341481,2070,232,113
100342729,2754,321,138
100343041,2604,304,130
100344169,2220,264,106
100344721,2394,278,121
100345009,2544,303,121
100346569,2790,338,127
100346761,2382,281,116
100346929,2892,371,111
100347409,2736,330,126
100347529,3114,359,160
100347601,2454,271,138
100347769,2760,310,150
100348441,2526,296,125
100349281,2160,258,102
100350049,2856,320,156
100350769,2934,341,148
100350961,3036,344,162
100351441,2370,278,117
100354081,2328,261,127
100354321,2376,291,105
100354801,2574,297,132
100355329,3270,388,157
100356481,1572,183,79
100356601,2988,348,150
100356649,2130,236,119
100358281,2172,243,119
100358329,2268,253,125
100359289,2376,272,124
100359361,2922,320,167
100360009,2742,323,134
100360801,1812,212,90
100360849,2868,343,135
100361881,1584,180,84
100362049,2910,332,153
100363321,2406,265,136
100363729,2364,284,110
100366081,2412,283,119
100366921,2202,260,107
100367089,2190,238,127
100367689,2496,286,130
100368409,2616,303,133
100368769,2376,286,110
100369081,2286,250,131
100369441,2274,266,113
100370449,1584,180,84
100371049,2694,325,124
100371289,2370,287,108
100371721,2520,274,146
100372561,2340,262,128
100372609,2424,274,130
100373401,2808,337,131
100374121,2136,244,112
100374961,2922,328,159
100375129,2082,253,94
100375321,2988,339,159
100375969,2328,265,123
100377481,2112,252,100
100377649,2262,269,108
100378441,2064,250,94
100379281,2364,276,118
100379449,2448,269,139
100381849,2448,274,134
100381969,2562,292,135
100382041,2148,232,126
100383649,2394,288,111
100384321,1764,206,88
100384369,2292,255,127
100384561,2424,276,128
100385209,2844,320,154
100385401,2568,284,144
100386001,1806,193,108
100386049,1890,227,88
100386889,2190,245,120
100387561,2520,302,118
100391281,2670,305,140
100391449,3402,383,184
100391761,2394,295,104
100392289,2742,297,160
100392961,2268,243,135
100393441,2064,229,115
100393561,3366,396,165
100393801,2598,304,129
100395121,2502,297,120
100395241,2394,280,119
100395289,2478,295,118
100396801,2502,299,118
100396921,1770,201,94
100398169,2388,264,134
100398769,2046,235,106
100399009,2292,239,143
100399681,2802,318,149
100400329,1878,222,91
100401121,2538,299,124
100401841,2328,261,127
100402369,2376,286,110
100402801,2166,246,115
100403881,3156,373,153
100404049,2202,263,104
100404649,2364,272,122
100405369,2406,281,120
100405729,3078,363,150
100407169,2124,249,105
100407721,2958,337,156
100407841,2496,286,130
100409689,2538,276,147
100410241,2142,240,117
100411921,2178,246,117
100412209,3504,395,189
100413121,2790,309,156
100413289,2784,345,119
100413601,2214,247,122
100414129,2052,249,93
100417921,3288,420,128
100418761,3168,376,152
100418809,2184,231,133
100419601,2520,290,130
100420009,3438,406,167
100421449,2898,360,123
100422001,1980,214,116
100423969,2688,306,142
100424521,2754,311,148
100424689,2766,304,157
100424809,2058,258,85
100424881,2124,265,89
100425049,3120,362,158
100425529,2070,238,107
100426321,2376,263,133
100426369,2556,287,139
100427161,1998,222,111
100428001,2526,289,132
100428169,2382,282,115
100429009,3168,377,151
100430089,3036,339,167
100430401,2310,272,113
100430761,2880,337,143
100431361,2418,278,125
100431601,2694,311,138
100432201,1866,208,103
100432441,3180,372,158
100433041,2922,351,136
100433929,3018,349,154
100434049,2358,274,119
100434601,2418,298,105
100434769,2688,305,143
100435441,2916,338,148
100436449,1938,224,99
100437409,3546,453,138
100438249,2652,332,110
100438969,2946,343,148
100439089,1680,187,93
100439641,2574,275,154
100439761,2142,254,103
100440001,2346,269,122
100440649,2376,273,123
100441009,2526,295,126
100441489,2364,260,134
100441609,2040,223,117
100442521,2064,244,100
100443121,2082,252,95
100443289,2004,233,101
100443961,2766,342,119
100444801,2382,280,117
100445641,2040,245,95
100445689,2106,239,112
100445881,2358,256,137
100446481,2022,233,104
100446529,2586,307,124
100446649,2532,309,113
100446889,2490,280,135
100447201,2922,342,145
100450681,3726,427,194
100450849,2574,301,128
100451401,2934,356,133
100452409,2118,231,122
100453081,1872,229,83
100454209,2316,285,101
100454281,2844,329,145
100454449,2670,314,131
100455049,2712,308,144
100455889,2694,292,157
100455961,2640,307,133
100456561,2400,273,127
100456969,2700,320,130
100457281,1896,218,98
100457449,2520,285,135
100457569,1938,214,109
100458121,2220,231,139
100458481,2766,332,129
100458961,2736,309,147
100459129,2334,290,99
100459321,2478,282,131
100461001,2544,292,132
100461841,2490,291,124
100462489,2688,302,146
100462849,2526,302,119
100463329,3018,346,157
100463689,2124,223,131
100465201,2466,300,111
100465969,2472,294,118
100466521,2580,302,128
100466881,1770,214,81
100467361,1956,218,108
100467481,3042,338,169
100467889,2964,339,155
100468201,2634,297,142
100469401,2886,340,141
100469569,2646,297,144
100470001,2562,280,147
100470169,3252,374,168
100470241,2304,278,106
100470889,2316,288,98
100471009,2424,284,120
100471249,2976,342,154
100472089,2022,244,93
100472569,2436,273,133
100474609,1626,179,92
100475041,2550,291,134
100476049,2892,345,137
100476601,2100,258,92
100476721,2220,271,99
100477129,2580,300,130
100477609,2592,316,116
100477969,2016,242,94
100479289,2424,300,104
100479481,3312,391,161
100480249,2472,266,146
100481761,2460,292,118
100481809,2484,276,138
100481929,2490,291,124
100482601,2718,331,122
100483441,2814,343,126
100483489,2988,329,169
100485529,1476,155,91
100485961,2574,295,134
100486129,2616,311,125
100486681,2052,232,110
100486849,2358,276,117
100488361,2058,240,103
100488529,2544,302,122
100488889,2658,295,148
100489201,1818,219,84
100490161,2706,314,137
100490569,1860,212,98
100490881,2532,286,136
100492009,3036,377,129
100492921,1920,239,81
100493401,3084,358,156
100493521,3228,376,162
100493929,2616,290,146
100494409,2532,297,125
100496089,2640,317,123
100496881,2334,250,139
100497721,2958,353,140
100498129,2784,334,130
100498561,2406,280,121
100498609,2220,251,119
100499281,2142,236,121
100500121,3246,390,151
100501081,2394,270,129
100501129,2226,260,111
