p,ford,fI,fII
1000346881,3006,343,158
1000348801,2448,293,115
1000349641,4644,483,291
1000350289,2988,365,133
1000351081,3144,363,161
1000351801,3882,458,189
1000352161,3030,372,133
1000352329,4062,476,201
1000352929,3168,348,180
1000353001,4482,525,222
1000353649,3000,340,160
1000353769,3528,413,175
1000353841,3876,443,203
1000354321,3534,426,163
1000355329,3834,452,187
1000355689,4176,502,194
1000356001,3714,459,160
1000356169,3888,463,185
1000356361,4242,474,233
1000357681,3804,412,222
1000357801,3156,364,162
1000358041,3450,392,183
1000358521,4074,488,191
1000358881,2820,341,129
1000359649,3018,350,153
1000360201,3084,355,159
1000360369,3624,423,181
1000361161,3930,484,171
1000362049,4038,452,221
1000362409,4164,503,191
1000362721,3018,357,146
1000363921,4548,524,234
1000364689,3072,371,141
1000366201,4056,489,187
1000366441,3048,380,128
1000367281,3750,430,195
1000367449,3498,406,177
1000368289,4020,450,220
1000371241,2736,312,144
1000371649,3456,404,172
1000372921,3342,376,181
1000373089,4062,469,208
1000373809,4368,548,180
1000374601,4794,555,244
1000375009,3858,443,200
1000375681,4536,546,210
1000376281,3966,472,189
1000376449,3336,403,153
1000376521,3144,376,148
1000377289,4032,481,191
1000378201,2676,309,137
1000379521,3120,361,159
1000380049,3312,400,152
1000380481,3054,354,155
1000380529,3696,435,181
1000380649,2976,343,153
1000380721,4758,579,214
1000381729,3930,456,199
1000382569,3876,437,209
1000384921,4236,462,244
1000385521,4854,545,264
1000386601,3990,446,219
1000388281,4254,465,244
1000388449,4092,465,217
1000388761,3582,423,174
1000390609,3066,361,150
1000391449,4488,533,215
1000391641,4014,456,213
1000393081,3882,463,184
1000393129,4518,530,223
1000393489,4020,466,204
1000393969,3228,376,162
1000394089,3762,415,212
1000394761,3594,425,174
1000394809,3996,467,199
1000397689,3852,434,208
1000398169,3138,358,165
1000398361,3534,411,178
1000399129,4842,570,237
1000399201,4782,568,229
1000399681,3288,385,163
1000401361,3528,400,188
1000403161,3660,428,182
1000404241,3912,455,197
1000404721,3300,388,162
1000405561,2802,323,144
1000405729,3864,455,189
1000407601,4200,513,187
1000408921,3882,477,170
1000409041,3492,416,166
1000409281,2952,339,153
1000410601,3972,495,167
1000413241,3468,392,186
1000413961,3180,348,182
1000414321,3012,347,155
1000414489,3690,422,193
1000415089,4788,571,227
1000415809,3534,397,192
1000416169,3384,412,152
1000417009,3876,469,177
1000417441,3612,401,201
1000418161,3120,356,164
1000418689,3744,455,169
1000419289,3642,471,136
1000419841,3636,418,188
1000423201,3762,452,175
1000424209,3378,393,170
1000424401,3936,471,185
1000424569,2646,318,123
1000425001,3132,360,162
1000425169,4140,475,215
1000426249,3252,349,193
1000426729,3498,388,195
1000427089,3654,426,183
1000427401,3846,431,210
1000427569,3678,409,204
1000427929,4524,512,242
