p,ford,fI,fII
100116193,2706,324,127
100116337,3240,363,177
100116481,2502,265,152
100116649,3036,344,162
100116697,4752,551,241
100116817,3120,370,150
100116889,3114,359,160
100117033,3462,410,167
100117057,4698,548,235
100117273,2808,332,136
100117393,3012,360,142
100117489,3006,327,174
100117729,3438,381,192
100117993,3390,413,152
100118089,2682,297,150
100118209,2772,313,149
100118497,3210,372,163
100118713,3378,397,166
100118857,3528,442,146
100119073,3000,363,137
100119121,2628,309,129
100119241,2730,310,145
100119433,3648,444,164
100119913,2988,341,157
100119961,3060,356,154
100120057,2580,319,111
100120369,3114,378,141
100120417,3240,399,141
100120513,2976,359,137
100120561,2256,262,114
100120753,3222,382,155
100120777,3102,355,162
100120897,2874,336,143
100121257,3912,495,157
100121377,2748,326,132
100121473,2166,263,98
100121521,3264,351,193
100121953,3216,387,149
100121977,3726,447,174
100122049,2280,267,113
100122313,3120,393,127
100122769,3294,380,169
100122889,3036,360,146
100122937,3246,405,136
100122961,2406,271,130
100123057,3048,359,149
100123249,3120,377,143
100123297,3492,409,173
100123321,2148,241,117
100123417,2430,279,126
100123633,2556,293,133
100123729,3042,348,159
100123801,2868,322,156
100123873,3570,417,178
100123993,3078,382,131
100124041,2430,257,148
100124113,3042,375,132
100124161,2454,288,121
100124329,2700,304,146
100124953,3552,393,199
100125073,3306,388,163
100125241,3564,410,184
100125409,2964,358,136
100125433,4116,487,199
100125481,1710,205,80
100125577,3612,457,145
100125721,2796,328,138
100125793,2316,270,116
100125889,3210,378,157
100125913,3300,399,151
100126129,2454,287,122
100126321,2496,292,124
100126393,4416,572,164
100126441,2976,337,159
100126849,2640,290,150
100127089,2784,303,161
100127113,2730,331,124
100127233,4128,490,198
100127281,1806,207,94
100127593,3312,389,163
100127857,3714,444,175
100128529,2916,356,130
100128937,3696,432,184
100129033,2658,334,109
100129153,3030,361,144
100129177,2808,344,124
100129273,3306,421,130
100129369,3498,402,181
100129441,2526,270,151
100129537,3468,404,174
100129657,3138,381,142
100129801,2568,296,132
100129921,3096,340,176
100129993,4908,594,224
100130089,2562,295,132
100130161,2082,229,118
100130353,2640,309,131
100130449,2484,294,120
100130521,2700,306,144
100130761,2472,271,141
100130857,2856,340,136
100130929,3474,409,170
100131001,2886,349,132
100131049,3330,398,157
100131169,3678,456,157
100131193,5058,565,278
100131313,3738,442,181
100131337,3558,437,156
100131481,3072,320,192
100131529,2190,251,114
100131601,2736,334,122
100131769,2208,246,122
100131841,2592,299,133
100131961,2250,271,104
100132369,2862,345,132
100132657,2970,344,151
100132729,3042,359,148
100132801,2562,313,114
100133161,2448,283,125
100133569,3186,370,161
100133617,3096,356,160
100133977,2790,313,152
100134121,3774,426,203
100134217,2556,290,136
100134241,1812,216,86
100134289,2946,350,141
100134337,2472,285,127
100134409,2730,322,133
100134553,3264,398,146
100134577,3420,395,175
100134673,3300,389,161
100134721,2022,241,96
100134841,2424,262,142
100134889,2706,320,131
100135129,3330,386,169
100135153,3810,411,224
100135249,2286,258,123
100135369,3282,378,169
100135393,2868,348,130
100135417,4416,518,218
100135513,3354,410,149
100135561,2784,324,140
100135993,3420,433,137
100136041,3528,456,132
100136161,2844,330,144
100136329,3282,386,161
100136353,2790,329,136
100136857,3408,445,123
100136977,3558,427,166
100137001,3240,385,155
100137073,2340,286,104
100137313,2214,273,96
100137529,2664,291,153
100137601,2016,222,114
100137673,3024,370,134
100137721,3030,336,169
100137889,2280,257,123
100137913,2706,327,124
100138009,2904,332,152
100138057,3360,414,146
100138201,2448,267,141
100138321,3258,386,157
100138513,2736,330,126
100138609,2982,325,172
100138681,3156,368,158
100138729,3480,394,186
100138921,1854,210,99
100139089,2796,316,150
100139497,4824,567,237
100139521,2586,304,127
100140121,2052,251,91
100140193,2730,332,123
100140289,3192,363,169
100140433,3360,400,160
100140457,3912,438,214
100140529,2820,336,134
100140577,3072,342,170
100140769,1896,220,96
100140841,2376,300,96
100140913,2574,312,117
100140961,2550,290,135
100141273,2556,309,117
100141297,3420,388,182
100141417,2982,340,157
100141633,2718,330,123
100141681,2148,233,125
100141801,2562,298,129
100142089,2574,298,131
100142113,2604,297,137
100142233,3138,377,146
100142353,2490,306,109
100142593,2844,345,129
100142761,3090,368,147
100142857,3048,365,143
100142881,2706,312,139
100143097,3114,361,158
100143289,2676,320,126
100143313,2910,355,130
100143457,3534,416,173
100143577,2748,325,133
100143649,2802,318,149
100143697,3288,385,163
100143937,3780,433,197
100144081,2370,274,121
100144201,2670,310,135
100144273,2862,349,128
100144489,2502,287,130
100144633,2946,354,137
100144777,3396,423,143
100144873,3270,364,181
100144897,2766,332,129
100145161,2664,325,119
100145281,2496,291,125
100145401,3450,376,199
100145449,3216,370,166
100145809,1728,199,89
